Variable Name,Variable Label,Value Code,Value Label
PID,,,
totgagu1s,총 가구원 수,,
birth1,출생년도1,,
birth2,출생년도2,,
birth3,출생년도3,,
birth4,출생년도4,,
birth5,출생년도5,,
birth6,출생년도6,,
choice1,코드1,,
choice2,코드2,,
choice3,코드3,,
choice4,코드4,,
relat1,가구주와의 관계1,1,가구주
relat1,가구주와의 관계1,2,배우자
relat1,가구주와의 관계1,3,미혼 자녀
relat1,가구주와의 관계1,4,기혼자녀 및 그 배우자
relat1,가구주와의 관계1,5,손자녀 및 그 배우자
relat1,가구주와의 관계1,6,"부모(장인, 장모 시부모)"
relat1,가구주와의 관계1,7,조부모
relat1,가구주와의 관계1,8,"미혼형제, 자매"
relat1,가구주와의 관계1,9,기타
relat2,가구주와의 관계2,1,가구주
relat2,가구주와의 관계2,2,배우자
relat2,가구주와의 관계2,3,미혼 자녀
relat2,가구주와의 관계2,4,기혼자녀 및 그 배우자
relat2,가구주와의 관계2,5,손자녀 및 그 배우자
relat2,가구주와의 관계2,6,"부모(장인, 장모 시부모)"
relat2,가구주와의 관계2,7,조부모
relat2,가구주와의 관계2,8,"미혼형제, 자매"
relat2,가구주와의 관계2,9,기타
relat3,가구주와의 관계3,1,가구주
relat3,가구주와의 관계3,2,배우자
relat3,가구주와의 관계3,3,미혼 자녀
relat3,가구주와의 관계3,4,기혼자녀 및 그 배우자
relat3,가구주와의 관계3,5,손자녀 및 그 배우자
relat3,가구주와의 관계3,6,"부모(장인, 장모 시부모)"
relat3,가구주와의 관계3,7,조부모
relat3,가구주와의 관계3,8,"미혼형제, 자매"
relat3,가구주와의 관계3,9,기타
relat4,가구주와의 관계4,1,가구주
relat4,가구주와의 관계4,2,배우자
relat4,가구주와의 관계4,3,미혼 자녀
relat4,가구주와의 관계4,4,기혼자녀 및 그 배우자
relat4,가구주와의 관계4,5,손자녀 및 그 배우자
relat4,가구주와의 관계4,6,"부모(장인, 장모 시부모)"
relat4,가구주와의 관계4,7,조부모
relat4,가구주와의 관계4,8,"미혼형제, 자매"
relat4,가구주와의 관계4,9,기타
relat5,가구주와의 관계5,1,가구주
relat5,가구주와의 관계5,2,배우자
relat5,가구주와의 관계5,3,미혼 자녀
relat5,가구주와의 관계5,4,기혼자녀 및 그 배우자
relat5,가구주와의 관계5,5,손자녀 및 그 배우자
relat5,가구주와의 관계5,6,"부모(장인, 장모 시부모)"
relat5,가구주와의 관계5,7,조부모
relat5,가구주와의 관계5,8,"미혼형제, 자매"
relat5,가구주와의 관계5,9,기타
relat6,가구주와의 관계6,1,가구주
relat6,가구주와의 관계6,2,배우자
relat6,가구주와의 관계6,3,미혼 자녀
relat6,가구주와의 관계6,4,기혼자녀 및 그 배우자
relat6,가구주와의 관계6,5,손자녀 및 그 배우자
relat6,가구주와의 관계6,6,"부모(장인, 장모 시부모)"
relat6,가구주와의 관계6,7,조부모
relat6,가구주와의 관계6,8,"미혼형제, 자매"
relat6,가구주와의 관계6,9,기타
sex1,성별1,1,남
sex1,성별1,2,여
sex2,성별2,1,남
sex2,성별2,2,여
sex3,성별3,1,남
sex3,성별3,2,여
sex4,성별4,1,남
sex4,성별4,2,여
sex5,성별5,1,남
sex5,성별5,2,여
sex6,성별6,1,남
sex6,성별6,2,여
gender,응답자 성별,1,남자
gender,응답자 성별,2,여자
birth,응답자 출생년도,1,18~29세
birth,응답자 출생년도,2,30대
birth,응답자 출생년도,3,40대
birth,응답자 출생년도,4,50대
birth,응답자 출생년도,5,60대
birth,응답자 출생년도,6,70세 이상
Q1a1,문1. 한 주 간 삶의 질 - 1. 행복했다,1,①전혀 그렇지 않다
Q1a1,문1. 한 주 간 삶의 질 - 1. 행복했다,2,②
Q1a1,문1. 한 주 간 삶의 질 - 1. 행복했다,3,③
Q1a1,문1. 한 주 간 삶의 질 - 1. 행복했다,4,④보통
Q1a1,문1. 한 주 간 삶의 질 - 1. 행복했다,5,⑤
Q1a1,문1. 한 주 간 삶의 질 - 1. 행복했다,6,⑥
Q1a1,문1. 한 주 간 삶의 질 - 1. 행복했다,7,⑦매우 그렇다
Q1a1,문1. 한 주 간 삶의 질 - 1. 행복했다,7.1,그렇지 않다
Q1a1,문1. 한 주 간 삶의 질 - 1. 행복했다,7.2,보통
Q1a1,문1. 한 주 간 삶의 질 - 1. 행복했다,7.3,그렇다
Q1a1,문1. 한 주 간 삶의 질 - 1. 행복했다,9,모름/무응답
Q1a2,문1. 한 주 간 삶의 질 - 2. 가치있는 존재라고 생각했다,1,①전혀 그렇지 않다
Q1a2,문1. 한 주 간 삶의 질 - 2. 가치있는 존재라고 생각했다,2,②
