feature,f_value,p_value
H0a11n1_미혼,596.363615608838,0.0
Q0a4,430.92366426976474,0.0
birth,430.92366426976474,0.0
H0a4,407.23772595046285,0.0
DM82_1인가구,397.8729753688962,0.0
H0a2_1인 가구,397.8729753688962,0.0
DM81_1인가구,397.8729753688962,0.0
H0a5n2_(결측),397.8729753688962,0.0
H0a9n2_(결측),397.8729753688962,0.0
DM16_1인가구,397.8729753688962,0.0
DM8_1인가구,397.8729753688962,0.0
H0a11n2_(결측),397.8729753688962,0.0
H0a12n2_(결측),397.8729753688962,0.0
H0a13n2_(결측),397.8729753688962,0.0
DM81_다인가구,397.8729753688958,0.0
H0a2_다인 가구,397.8729753688958,0.0
DM8_다인가구,397.8729753688958,0.0
H0a13n2_없음,373.72259919408646,0.0
DM5_미혼,357.41922500673655,0.0
"H0a11n2_기혼(배우자 있음, 사실혼 포함)",330.6234989111937,0.0
"H0a11n1_기혼(배우자 있음, 사실혼 포함)",328.8368561868925,0.0
H0a10n1,326.71225100559997,0.0
H0a12n3_(결측),294.8453112407531,0.0
H0a13n3_(결측),294.8453112407531,0.0
H0a11n3_(결측),294.8453112407531,0.0
H0a5n3_(결측),294.8453112407531,0.0
H0a9n3_(결측),294.8453112407531,0.0
H0a13n3_없음,284.1441698979461,0.0
H0a11n3_미혼,271.6738145404331,2.99458452e-315
H0a3_해당 없음,270.1778289379583,7.4917768415e-314
DM15_해당 없음,270.1778289379583,7.4917768415e-314
DM16_부부+자녀가구,263.5015727009113,1.4149834227004414e-307
H0a9n2_여,238.5842559406183,1.2944843583942798e-283
"DM5_기혼(배우자 있음, 사실혼 포함)",230.59921992664866,9.48330514877946e-276
Q5_2_해당 없음(기혼),230.59921992664866,9.48330514877946e-276
H0a5n2_본인 또는 배우자의 부모(장인/장모/시부모),205.61025599698607,1.6124539493601977e-250
Q5_3_(결측),205.01130032452525,6.669719399119681e-250
DM32_권선구 세류2동,202.42627656771842,3.104041497766328e-247
H0a5n1_본인 또는 배우자의 부모(장인/장모/시부모),202.05983639336748,7.429666017340829e-247
H0a5n3_미혼 자녀,201.3952311837759,3.6222606559126124e-246
H0a12n3_중졸 이하,195.1234294844916,1.2213101505582506e-239
"DM172_빈둥지가구(한 명이라도 60대 이상인 부부가구거나 60대 이상, 이혼/별거/사별한 1인가구)",181.8942514211085,1.1721685682186627e-225
Q25m1_없음,172.87988527092222,5.845572948784896e-216
DM171_해당 없음,169.2548638016413,5.089598934976921e-212
DM172_해당 없음,169.2548638016413,5.089598934976921e-212
DM161_영유아 자녀 있음,161.9273380650856,5.5222493214720826e-204
H1_있다,161.9273380650856,5.5222493214720826e-204
H1_없다,161.9273380650842,5.522249321489975e-204
DM161_영유아 자녀 없음,161.9273380650842,5.522249321489975e-204
Q5_2_있다,159.5615021800584,2.2763179710124337e-201
H0a5n3_본인,158.00142912456647,1.22260246472012e-199
Q5_3_비해당,157.69818868862194,2.65512148455998e-199
DM23_18~34세,151.27077742753013,4.007463285558665e-192
DM22_19~34세,151.27077742753013,4.007463285558665e-192
MQ4,150.8000706249114,1.3540453547122314e-191
MHQ4,150.80006812327613,1.3540541198042013e-191
H1op,147.56174071592568,6.03543466038768e-188
DM32_팔달구 매교동,147.02993314181867,2.4091828939787947e-187
Q12a1b1,142.9369884052733,1.0633255986753065e-182
DM23_65세 이상,141.88016805860457,1.7029781206608252e-181
DM22_65세 이상,141.88016805860457,1.7029781206608252e-181
H0a10n2,140.57370828199856,5.287787956800081e-180
DM25_베이비붐세대,130.7848171803107,1.0216947503358089e-168
Q5_3_있다,127.12244106989243,1.90937131424064e-164
Q15_2_(결측),126.36489393421266,1.4717388409470713e-163
Q15_통근·통학을 하지 않는다,126.36489393421266,1.4717388409470713e-163
Q15_4_(결측),126.36489393421266,1.4717388409470713e-163
Q15_5_(결측),126.36489393421266,1.4717388409470713e-163
Q15_1_(결측),126.36489393421266,1.4717388409470713e-163
H0a5n1_본인,124.22627015862705,4.764822532585238e-161
DM21_20대 이하,116.32619647330216,1.0774863440408216e-151
DM2_19-29세,116.32619647330216,1.0774863440408216e-151
DM25_Z세대,116.32619647330216,1.0774863440408216e-151
MODE_웹,116.01713900662085,2.5176891356526937e-151
MODE_TAPI,116.01713900662081,2.5176891356526937e-151
DM24_20-29세,112.07702919014554,1.3113682538332717e-146
Q9a2_⑤ 매우 능숙함,111.54663036780926,5.690862962897392e-146
Q23m1_활동 없음,111.16170024884892,1.652634127646412e-145
H0a10n3,108.1011037055362,8.142670224424233e-142
Q15_통근(직장 출근)을 한다,107.27948333070894,8.043954742863903e-141
DM32_영통구 광교1동,105.44001689517874,1.37316065349355e-138
Q9a1_⑤ 매우 능숙함,99.85487451225603,9.132797748413882e-132
DM9_5년 미만,99.46724332640257,2.7332454563181807e-131
DM171_부부가구(부부 중 한 명이라도 60대 이상),97.95909754470995,1.9592446974205212e-129
Q12a2b1,95.28941749508482,3.880302854969826e-126
DM23_50~64세,94.61468129742207,2.658341766327606e-125
Q9a3_① 매우 미숙함,93.54498159036939,5.644912262171928e-124
H9_부채 있음,92.33681535009632,1.7929671982551343e-122
H9_부채 없음,92.33681535009603,1.7929671982564593e-122
H9_1r2_(결측),92.33681535009603,1.7929671982564593e-122
H9_1r1_(결측),92.33681535009603,1.7929671982564593e-122
Q9a4_⑤ 매우 능숙함,88.91273279620953,3.373478073315505e-118
H0a12n2_대학(4년제) 졸업,88.43369560756817,1.3434199363565782e-117
DM21_70대 이상,88.23526154382257,2.3821077556301146e-117
DM2_70대 이상,88.23526154382257,2.3821077556301146e-117
DM24_70대 이상,88.23526154382257,2.3821077556301146e-117
Q25m2_(결측),88.18093444999101,2.7866311232857137e-117
DM11_자가,88.09729097210024,3.547881371538673e-117
H7_자가(자기집),88.09729097210024,3.547881371538673e-117
DM15_맞벌이 가구,87.71808530794466,1.0609530862571453e-116
H0a3_맞벌이,87.71808530794466,1.0609530862571453e-116
DM23_35~49세,86.05937817373898,1.289627663230657e-114
H0a9n3_여,84.5606808338661,9.989487641405001e-113
Q9a2_① 매우 미숙함,84.46489780859076,1.3196273720498125e-112
DM25_밀레니얼/M세대,82.00107565716324,1.729158261951018e-109
Q9a3_⑤ 매우 능숙함,79.73182904108275,1.322696672826436e-106
DM82_3인가구,78.50990304246163,4.7771993839070644e-105
Q10_1_상용직 임금근로자,78.07604538570773,1.710384576724545e-104
DM121_상용직 임금근로자,78.07604538570773,1.710384576724545e-104
Q9a5_⑤ 매우 능숙함,77.8198858424278,3.6336878249647484e-104
DM82_2인가구,77.32609262941091,1.5546075592658068e-103
MHQ2,75.22034969094418,7.763369910698297e-101
MQ2,75.22034878256869,7.763390759189497e-101
DM16_부부가구,74.67137508094213,3.9377838034730176e-100
Q54a1_정기적으로 진행했다,74.06712917660793,2.3565357594598767e-99
Q1a5_① 전혀 그렇지 않다,72.21015368317752,5.829321270997276e-97
DM82_4인가구,71.91672497808345,1.394909803090495e-96
H0a9n3_남,71.00990658538413,2.074351044881526e-95
Q11a4_소득  없음,70.42709163268994,1.1786235750402792e-94
Q10_아니다,70.09035812273463,3.218596081837994e-94
DM12_무직,70.09035812273463,3.218596081837994e-94
Q10_1_(결측),70.09035812273463,3.218596081837994e-94
Q10_2_(결측),70.09035812273463,3.218596081837994e-94
Q10_4_(결측),70.09035812273463,3.218596081837994e-94
Q10_5_(결측),70.09035812273463,3.218596081837994e-94
DM122_무직,70.09035812273463,3.218596081837994e-94
DM121_무직,70.09035812273463,3.218596081837994e-94
Q10_그렇다,70.09035812273449,3.218596081839183e-94
Q27a1_⑥,69.38915332513041,2.612474619725239e-93
Q11a1_소득  없음,68.99433844115431,8.50350284659364e-93
DM11_월세,68.94096733068245,9.974985867089911e-93
H7_보증금 있는 월세,68.50326697534503,3.6950529012359556e-92
Q17a1_⑥,68.25516575244704,7.765752007864183e-92
Q18a1_⑥,66.58217580052417,1.1724947580680688e-89
Q9a4_① 매우 미숙함,66.27133521877218,2.983252014291646e-89
DM24_60대,66.08288542781148,5.25639610116594e-89
DM21_60대,66.08288542781148,5.25639610116594e-89
DM2_60대,66.08288542781148,5.25639610116594e-89
Q19a1_⑥,65.56231076379211,2.5157965076328744e-88
Q4a1_⑥,65.473966752885,3.281987402895927e-88
Q9a5_① 매우 미숙함,65.24859328020484,6.468056159816439e-88
Q11a4_100만원 미만,64.47669911768249,6.619307746189166e-87
DM4_대학(4년제) 졸업,63.87528338130301,4.062236993891404e-86
Q1a6_① 전혀 그렇지 않다,63.77537193162117,5.4922391176674575e-86
Q38a1_⑥,63.283887825785705,2.4234527017559954e-85
Q21a1_⑥,63.28213718880874,2.436306434547297e-85
H0a12n2_고졸,61.90636105590365,1.5647213981161114e-83
Q9a1_① 매우 미숙함,61.01681021899616,2.3210352339073243e-82
Q38a3_⑥,60.45978324985292,1.259126393358198e-81
Q20a1b1,60.16444986693034,3.0884514241268936e-81
DM12_관리자,59.9854039733001,5.322076475617163e-81
Q10_5_관리자,59.9854039733001,5.322076475617163e-81
Q51_1a3_그렇다,59.659666400914126,1.4330182125766157e-80
Q51_1a3_아니다,59.65966640091399,1.4330182125772266e-80
H0a5n2_본인의 배우자,59.185910126864805,6.0583086996293784e-80
Q45_3a9_⑥,59.16999497807648,6.359070824272144e-80
H9_1r1_거주주택 마련,58.8275587005083,1.8042397189019653e-79
MHQ1,57.399680527546536,1.405461454319976e-77
MQ1,57.39967642174994,1.405479078853645e-77
Q22m1_활동 없음,57.017287965568315,4.520743151697123e-77
H0a12n1_대학(4년제) 졸업,56.914410231716296,6.191226742177139e-77
DM4_고졸,56.44407974166753,2.6088500251969748e-76
Q51_2a3_그렇다,55.93393763906229,1.243364051206045e-75
Q51_2a3_아니다,55.93393763906229,1.243364051206045e-75
Q39a3_⑥,55.59558457108228,3.5053167529112e-75
Q51_1a1_아니다,54.21778246048196,2.401754156724092e-73
Q51_1a1_그렇다,54.217782460481814,2.4017541567249112e-73
Q25m3_(결측),53.246065898812006,4.7642546088268e-72
DM7_5년 미만,53.21934258986792,5.172598220211559e-72
Q18a3_⑥,53.048793358799664,8.743309623340892e-72
DM9_10~20년 미만,53.00571464320541,9.983174814153347e-72
Q18a6_⑥,52.970673882366064,1.1120355386162451e-71
H0a5n1_본인의 배우자,52.39886064864541,6.472269534804248e-71
Q51_2a1_그렇다,52.14145360439004,1.4310540756223313e-70
Q51_2a1_아니다,52.14145360438999,1.4310540756223313e-70
Q36_1a4_⑦ 적극적으로 실천한다,52.016918613588345,2.1010294196992647e-70
Q51_1a2_그렇다,51.530528368842035,9.422296894217523e-70
Q51_1a2_아니다,51.530528368842035,9.422296894217523e-70
H0a5n2_본인,51.386092146976836,1.4716308679074999e-69
Q20a2b2,51.141796289521736,3.129203738639133e-69
Q45_3a3_⑥,50.68961379252897,1.2654646750427668e-68
Q10_2_전일제,50.37074946220068,3.391957729997495e-68
Q51_2a2_그렇다,50.3132141118462,4.0526587407752425e-68
Q51_2a2_아니다,50.313214111845994,4.052658740778353e-68
DM6_기독교,50.1767282224783,6.181853704555639e-68
Q0a5_기독교(개신교),50.1767282224783,6.181853704555639e-68
Q46_⑥,48.91927157635658,3.038719992935027e-66
Q5_3_없다,48.621367183406385,7.655835036157064e-66
Q4a3_④ 보통,48.364615163267736,1.6983527663299354e-65
Q2a2_⑨,47.937787406875444,6.391863431472543e-65
H0a12n1_고졸,47.856922954489846,8.21724245581047e-65
Q59a2_⑦ 매우 중요하다,47.485260684564906,2.6082846381177368e-64
Q18a5_③,47.147721283558546,7.450952706967218e-64
DM24_30대,47.08475057234535,9.063280187908939e-64
DM2_30대,47.08475057234535,9.063280187908939e-64
DM21_30대,47.08475057234535,9.063280187908939e-64
DM24_50대,46.953909189737274,1.3617030892344272e-63
DM2_50대,46.953909189737274,1.3617030892344272e-63
DM21_50대,46.953909189737274,1.3617030892344272e-63
Q4a10_⑥,46.12944895245894,1.7743874505055811e-62
H8_200만원 이상 ~ 300만원 미만,45.63760492081205,8.22167758463738e-62
DM13_200만원 이상 ~ 300만원 미만,45.63760492081205,8.22167758463738e-62
DM25_베이비붐세대 이전,45.44839902842538,1.483472138066309e-61
Q1a7_① 전혀 그렇지 않다,45.430892145963355,1.5667524260238424e-61
Q15_4_④ 보통,45.16906283529039,3.546927115559772e-61
Q3_건강,45.15403252518228,3.717298309128575e-61
Q59a1_⑦ 매우 중요하다,45.04122751054444,5.286439300083832e-61
"Q13_가족(함께 거주, 출생, 결혼, 분가 등)",44.90671634872931,8.045744616406924e-61
Q45_3a5_⑥,44.84411795470349,9.78288248149556e-61
Q36_1a2_⑦ 적극적으로 실천한다,44.83999464821825,9.90967686235227e-61
Q39a1_⑥,44.75683550168273,1.2848756307332657e-60
"Q45_2_1인가구 지원(생활편의, 돌봄지원 등)",44.53452944505175,2.57328894648521e-60
Q44a1_전혀 없었음,44.33328272076474,4.826608339876947e-60
Q50a1_⑥,44.17680304491197,7.872239344002176e-60
DM2_40대,44.13079869609679,9.090135744250276e-60
DM21_40대,44.13079869609679,9.090135744250276e-60
DM24_40대,44.13079869609679,9.090135744250276e-60
Q50a3_⑥,43.97774961641257,1.467034919868489e-59
Q62_1op_(결측),43.88671520453722,1.9503321293301337e-59
