variable,level,weighted_%,unweighted_%
DM11,1.0,69.94,78.15
DM11,2.0,10.35,8.78
DM11,3.0,6.8,3.75
DM11,4.0,4.5,3.83
DM11,5.0,2.4,2.03
DM11,6.0,4.96,3.0
DM11,7.0,1.05,0.45
DM12,1.0,4.97,4.33
DM12,2.0,12.17,11.99
DM12,3.0,27.95,38.38
DM12,4.0,13.04,13.73
DM12,5.0,3.66,4.95
DM12,6.0,0.48,0.23
DM12,7.0,3.03,2.53
DM12,8.0,0.75,0.56
DM12,9.0,5.85,3.88
DM12,10.0,3.3,2.31
DM12,11.0,13.17,10.58
DM12,12.0,7.15,3.83
DM12,13.0,4.49,2.7
DM13,1.0,1.93,1.41
DM13,2.0,5.39,2.87
DM13,3.0,7.69,5.18
DM13,4.0,16.55,20.65
DM13,5.0,18.53,19.25
DM13,6.0,13.74,14.01
DM13,7.0,13.44,13.84
DM13,8.0,7.09,7.88
DM13,9.0,15.65,14.91
DM14,1.0,77.44,77.49
DM14,2.0,7.16,6.7
DM14,3.0,12.15,10.58
DM14,4.0,3.21,5.18
DM14,5.0,0.04,0.06
DM15,1.0,64.12,57.83
DM15,2.0,22.94,27.7
DM15,3.0,11.72,12.89
DM15,4.0,0.89,1.07
DM15,6.0,0.33,0.51
DM3,1.0,34.97,46.09
DM3,2.0,59.55,50.37
DM3,3.0,3.3,2.92
DM3,4.0,2.18,0.62
DM6,1.0,32.33,34.63
DM6,2.0,29.83,24.73
DM6,3.0,37.84,40.64
GU,1.0,23.27,22.14
GU,2.0,30.68,35.93
GU,3.0,16.93,15.41
GU,4.0,29.11,26.51
q13_1,1.0,9.89,10.37
q13_1,2.0,33.5,37.22
q13_1,3.0,29.77,28.98
q13_1,4.0,14.89,14.01
q13_1,5.0,5.79,4.28
q13_1,6.0,6.18,5.13
q15,1.0,19.36,19.51
q15,2.0,55.41,55.26
q15,3.0,4.21,5.06
q15,4.0,8.98,8.6
q15,5.0,10.39,9.84
q15,6.0,0.42,0.39
q15,7.0,0.33,0.56
q15,8.0,0.9,0.79
q20,1.0,12.91,12.82
q20,2.0,15.26,16.53
q20,3.0,31.16,29.34
q20,4.0,5.42,7.14
q20,5.0,24.87,23.16
q20,6.0,10.37,11.02
q6,1.0,20.91,21.62
q6,2.0,10.7,12.52
q6,3.0,13.08,10.5
q6,4.0,20.13,19.31
q6,5.0,4.75,6.06
q6,6.0,10.82,10.67
q6,7.0,5.11,4.77
q6,8.0,3.08,2.86
q6,9.0,7.41,6.23
q6,10.0,1.27,1.68
q6,11.0,2.46,3.43
q6,12.0,0.27,0.34
q9_2,1.0,4.33,7.52
q9_2,2.0,77.39,71.95
q9_2,3.0,11.66,12.7
q9_2,4.0,5.61,7.11
q9_2,5.0,0.91,0.61
q9_2,6.0,0.1,0.1
