variable,scale,reverse_applied,valid_n,weighted_bottom2_%,weighted_neutral_%,weighted_top2_%,weighted_NSS_pp,unweighted_bottom2_%,unweighted_neutral_%,unweighted_top2_%,unweighted_NSS_pp
q1,7,False,1783,6.75,26.26,25.3,18.55,6.56,26.4,23.65,17.1
q18,5,True,1779,3.4,16.18,80.42,77.03,3.7,16.93,79.09,75.39
q19,5,True,1779,5.08,20.51,74.41,69.33,5.38,20.46,73.88,68.5
q2,7,False,1783,4.15,20.04,33.75,29.59,3.14,23.32,31.0,27.86
q3,7,False,1783,2.79,29.02,24.68,21.88,3.08,29.32,24.89,21.8
q5_1,7,False,1781,3.2,26.81,30.78,27.59,3.92,26.07,28.42,24.5
q5_2,7,False,1781,3.87,28.04,28.17,24.3,4.37,28.7,27.52,23.15
q5_3,7,False,1781,2.88,26.54,29.96,27.09,3.36,27.02,28.64,25.28
q5_4,7,False,1781,3.66,28.98,27.84,24.18,4.37,29.2,28.08,23.71
q5_5,7,False,1781,3.0,25.08,32.24,29.24,3.53,26.57,30.66,27.13
q7,7,False,1781,5.35,30.1,24.76,19.4,5.66,28.64,24.72,19.06
