지표명,산출방법,단위,출처,year,value
총인구,,,,2010,
주민등록 기준,"주민등록인구 기준 총인구 수
▶2010년 주민등록에 의한 집계(연말기준), 외국인 제외
▶2011-2024년 거주자, 거주불명자, 재외국민 포함
",명,"행정안전부, 「주민등록인구현황」",2010,1077535.0
인구총조사 기준,"인구총조사 기준 총인구 수
▶2015년-2023년 외국인 포함
▶2010년 외국인 제외
",명,"통계청, 「인구총조사」",2010,1054053.0
청년인구 비율,"주민등록 전체 인구 대비 청년(19~34세) 인구 수와 비율
※ 청년인구비율 = (19~34세 인구 합 ÷ 전체인구수) × 100
▶전체는 거주자, 거주불명자, 재외국민 포함
▶주민등록 연령별 인구통계는 주민등록 신고에 따른 것으로 실제 연령과는 차이가 있을 수 있음
","명, %","행정안전부, 「주민등록인구현황」",2010,25.2741674284362
청년인구,,,,2010,272338.0
고령인구 비율,"주민등록 전체 인구 대비 고령(65세 이상) 인구 수와 비율
※ 고령인구 비율 = (65세 이상 인구 합 ÷ 전체 인구 수) × 100
▶2010년 주민등록에 의한 집계(연말기준, 외국인 제외), 2010-2024년 전체는 거주자, 거주불명자, 재외국민 포함, 연말기준, 주민등록에 의한 집계
▶주민등록 연령별 인구통계는 주민등록 신고에 따른 것으로 실제 연령과는 차이가 있을 수 있음
","명, %","행정안전부, 「주민등록인구현황」",2010,6.946688506637836
고령인구,,,,2010,74853.0
주간인구지수,"상주인구 대비 주간 활동인구의 비율
▶100을 기준으로 100미만인 경우에는 통근·통학을 위해 다른 지역으로 유출됨을 의미(100이상인 경우는 그 반대)
※ 주간인구지수 = ((상주인구 + 유입인구 – 유출인구) ÷ 상주인구) ×100
▶2010년 통근·통학(10% 표본), 2015, 2020년 통근통학(20%표본)
▶일반가구, 집단가구, 집단시설가구의 가구원을 대상으로 집계(외국인가구 및 특별조사구 제외, 일반가구, 집단가구, 집단시설가구 내에 내국인과 함께 사는 외국인 포함)
▶행정구역이 시·도인 경우의 유입·유출 인구는 해당 시·도 경계를 넘어 통근·통학하는 인구이며, 행정구역이 시·군·구인 경우의 유입·유출 인구는 해당 시·군·구 경계를 넘어 통근·통학하는 인구이기 때문에, 시·도의 유입·유출 인구는 시·군·구의 유입·유출 인구의 합이 아님
",%,"통계청, 「인구총조사」",2010,91.2
순이동률,"※ 이동률(%): 인구 백명당 이동자수 = 이동자수 ÷ 연앙인구 × 100   
▶순이동률은 전입자수와 전출자수의 차이로 계산
▶연앙인구: 1993년부터는 주민등록인구연앙인구 사용(※ 주민등록연앙인구=[연초 주민등록인구+연말 주민등록인구]/2)
▶연중 행정구역 변경시 주민등록연앙인구는 변경된 행정구역을 기준으로 연초 변경전 인구와 연말 변경후 인구의 평균, 이동자는 행정구역 변경전 이동자와 변경후 이동자의 합으로 이동률 계산
",%,"통계청, 「국내인구이동통계」",2010,-1.2
합계출산율,"한 여자가 가임기간(15~49세)동안 낳을 것으로 예상되는 평균 출생아 수
",가임여성 1명당 명,"통계청, 「인구동향조사」",2010,1.226
