quarter,source_file,respondent_id,_id,ID,GU_code,GU_label,resi_y,resi_m,q1_code,q2_code,q3_code,q3_1_1_code,q3_1_1_label,q3_1_2_code,q3_1_2_label,q3_1_3_code,q3_1_3_label,q4_code,q4_label,q5_1_code,q5_2_code,q5_3_code,q5_4_code,q5_5_code,q6_code,q6_label,q7_code,q8_code,q8_label,q9_code,q9_label,q10_code,q10_label,q11_1_code,q11_1_label,q11_2_code,q11_2_label,q12_code,q12_label,q13_code,q13_label,q13_1_code,q13_1_label,q13_2,q14_code,q14_label,q15_code,q15_label,q16_code,q16_label,q17_code,q17_label,q18_code,q18_label,q19_code,q19_label,q20_code,q20_label,DM1_code,DM1_label,DM2,DM3_code,DM3_label,DM4_code,DM4_label,DM5,DM6_code,DM6_label,DM7_code,DM7_label,DM8,DM9_1_code,DM9_1_label,DM9_2_code,DM9_2_label,DM10_code,DM10_label,DM11_code,DM11_label,DM12_code,DM12_label,DM13_code,DM13_label,DM14_code,DM14_label,DM15_code,DM15_label,wg,ws,q5_3_label,q5_5_label,q7_label,q9_1_code,q9_1_label,q9_2_code,q9_2_label,q3_3_1,q3_3_2,q3_3_3,q3_3_4,q3_3_5,q3_3_6,q3_3_7,q3_3_8,q3_3_9,q3_3_10,q3_3_11,q3_3_12,q3_3_13,q3_3_14,q3_3_15,q3_3_16,q9_4,q9_5_code,q9_5_label,q3_label,q5_2_label,q5_4_label,q5_1_label,q1_label,q2_label,q21_op,q10_op,DM9_3_code,DM9_3_label,DM9_4_code,DM9_4_label,q14_op,DM12_op,q16_op,q15_op,q9_2_op,q3_3_16_op,q17_op,q6_op,q9_5_op
(공개용) 2024년 3분기 패널조사 데이터(가중치),(공개용) 2024년 3분기 패널조사 데이터(가중치).xlsx,1,(공개용) 2024년 3분기 패널조사 데이터(가중치)-1,1,1,장안구,8.0,1.0,5.0,5.0,5.0,1.0,"새롭고 과감한 시도, 참신한 정책·사업들이 많아서",2.0,"시민과의 소통, 홍보를 잘 하는 것 같아서",4.0,추진력 있고 강단 있게 일하는 것 같아서,2.0,"별로 기대하지 않았는데, 기대 이상으로 잘 한다",6.0,5.0,5.0,5.0,5.0,4.0,기업 유치 및 일자리,5.0,2.0,"별로 기대하지 않았는데, 기대 이상으로 잘 한다",3.0,여름 휴가를 가지 않을 계획이다,6.0,유급 연차 휴가가 없거나 부족해서,8.0,맛집탐방,9.0,몰캉스(쇼핑몰+바캉스),4.0,조금 나빠질 것이다,1.0,늘어날 것이다,2.0,10-20만원,100.0,1.0,제사 상차림비,2.0,대형마트,1.0,"고향(가족, 친지) 방문",1.0,추석 성수품 물가 안정,3.0,보통이다,2.0,약간 도움이 된다,3.0,경제·세무 분야,2,여자,39,2.0,기혼(배우자 있음),4.0,대학원,4.0,1.0,맞벌이,1.0,있음,2.0,2.0,유아(3-7세),3.0,초등학교,1.0,일을 하였음,1.0,상용직 임금근로자,3.0,사무 종사자,8.0,600만원 이상 ~700만원 미만,1.0,아파트,1.0,자기집,267.21,0.4692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(공개용) 2024년 3분기 패널조사 데이터(가중치),(공개용) 2024년 3분기 패널조사 데이터(가중치).xlsx,2,(공개용) 2024년 3분기 패널조사 데이터(가중치)-2,2,1,장안구,40.0,0.0,5.0,6.0,3.0,,,,,,,4.0,"별로 기대하지 않았고, 역시 잘 못한다",3.0,5.0,4.0,3.0,4.0,5.0,주거,1.0,4.0,"별로 기대하지 않았고, 역시 잘 못한다",2.0,여름 휴가를 다녀올 계획이다,,,2.0,"지역 축제 참여(수원화성문화제, 수원재즈페스티벌 등)",4.0,"호캉스, 에캉스 등 숙소에서 휴식",5.0,많이 나빠질 것이다,1.0,늘어날 것이다,3.0,20-30만원,50.0,3.0,가족 및 친․인척 용돈,2.0,대형마트,2.0,"집에서 방문객(가족, 친지 등) 응대",1.0,추석 성수품 물가 안정,1.0,매우 필요하다,2.0,약간 도움이 된다,2.0,녹지·환경 분야,2,여자,40,2.0,기혼(배우자 있음),3.0,대학교(4년제 이상),3.0,1.0,맞벌이,1.0,있음,1.0,2.0,유아(3-7세),,,1.0,일을 하였음,1.0,상용직 임금근로자,3.0,사무 종사자,8.0,600만원 이상 ~700만원 미만,1.0,아파트,1.0,자기집,286.97,0.5039,보통이다,보통이다,전혀 만족하지 못한다,2.0,해외,2.0,가족,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,3.0,소중한 사람과 함께 보내는 시간,,,,,,,,,,,,,,,,,,,,,
(공개용) 2024년 3분기 패널조사 데이터(가중치),(공개용) 2024년 3분기 패널조사 데이터(가중치).xlsx,3,(공개용) 2024년 3분기 패널조사 데이터(가중치)-3,3,4,영통구,30.0,5.0,3.0,3.0,4.0,,,,,,,3.0,"잘 할 것이라 기대했는데, 대체로 기대에 못 미친다",3.0,4.0,3.0,4.0,4.0,9.0,환경 및 기후변화,3.0,2.0,"별로 기대하지 않았는데, 기대 이상으로 잘 한다",2.0,여름 휴가를 다녀올 계획이다,,,1.0,수원 화성 및 화성행궁 방문,4.0,"호캉스, 에캉스 등 숙소에서 휴식",2.0,조금 좋아질 것이다,3.0,줄어들 것이다,2.0,10-20만원,100.0,2.0,명절 선물비,2.0,대형마트,2.0,"집에서 방문객(가족, 친지 등) 응대",3.0,교통 및 물류 대책 마련,2.0,조금 필요하다,2.0,약간 도움이 된다,3.0,경제·세무 분야,2,여자,30,1.0,미혼,3.0,대학교(4년제 이상),4.0,3.0,비해당,2.0,없음,,,,,,1.0,일을 하였음,1.0,상용직 임금근로자,4.0,서비스 종사자,5.0,300만원 이상 ~400만원 미만,1.0,아파트,1.0,자기집,216.81,0.38070000000000004,,보통이다,,1.0,국내,2.0,가족,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,휴식과 재충천,보통이다,보통이다,보통이다,,,,,,,,,,,,,,,,,,
(공개용) 2024년 3분기 패널조사 데이터(가중치),(공개용) 2024년 3분기 패널조사 데이터(가중치).xlsx,4,(공개용) 2024년 3분기 패널조사 데이터(가중치)-4,4,1,장안구,7.0,11.0,3.0,5.0,4.0,,,,,,,3.0,"잘 할 것이라 기대했는데, 대체로 기대에 못 미친다",4.0,5.0,5.0,5.0,4.0,6.0,도시계획 및 정비,5.0,3.0,"잘 할 것이라 기대했는데, 대체로 기대에 못 미친다",2.0,여름 휴가를 다녀올 계획이다,,,4.0,"호캉스, 에캉스 등 숙소에서 휴식",10.0,스포츠 경기 관람,4.0,조금 나빠질 것이다,2.0,비슷할 것이다,,,,3.0,가족 및 친․인척 용돈,2.0,대형마트,2.0,"집에서 방문객(가족, 친지 등) 응대",2.0,소비심리 회복,3.0,보통이다,2.0,약간 도움이 된다,5.0,사회복지 분야,2,여자,27,1.0,미혼,3.0,대학교(4년제 이상),4.0,1.0,맞벌이,2.0,없음,,,,,,1.0,일을 하였음,1.0,상용직 임금근로자,3.0,사무 종사자,4.0,200만원 이상 ~300만원 미만,2.0,단독주택(다가구 포함),2.0,전세(월세없음),276.17,0.4849,,보통이다,,4.0,국내․해외 모두,4.0,연인,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,일상에서 벗어난 변화,보통이다,,,보통이다,,,,,,,,,,,,,,,,,
(공개용) 2024년 3분기 패널조사 데이터(가중치),(공개용) 2024년 3분기 패널조사 데이터(가중치).xlsx,5,(공개용) 2024년 3분기 패널조사 데이터(가중치)-5,5,1,장안구,4.0,10.0,4.0,4.0,4.0,,,,,,,4.0,"별로 기대하지 않았고, 역시 잘 못한다",3.0,3.0,4.0,4.0,4.0,3.0,산업 및 경제,3.0,4.0,"별로 기대하지 않았고, 역시 잘 못한다",3.0,여름 휴가를 가지 않을 계획이다,1.0,비용 부담 때문에,2.0,"지역 축제 참여(수원화성문화제, 수원재즈페스티벌 등)",5.0,"아웃도어 활동(걷기, 등산 등)",4.0,조금 나빠질 것이다,1.0,늘어날 것이다,6.0,50만원 이상,150.0,2.0,명절 선물비,2.0,대형마트,1.0,"고향(가족, 친지) 방문",1.0,추석 성수품 물가 안정,1.0,매우 필요하다,3.0,보통이다,3.0,경제·세무 분야,2,여자,34,2.0,기혼(배우자 있음),3.0,대학교(4년제 이상),4.0,1.0,맞벌이,1.0,있음,2.0,1.0,영아(0-2세),2.0,유아(3-7세),2.0,휴가 및 일시 휴직,,,4.0,서비스 종사자,6.0,400만원 이상 ~500만원 미만,4.0,"주택 외 거주(오피스텔, 고시원, 상가, 공장 등)",1.0,자기집,198.29,0.3482,보통이다,보통이다,,,,,,,,,,,,,,,,,,,,,,,,,보통이다,,보통이다,,보통이다,보통이다,,,,,,,,,,,,,,,
(공개용) 2024년 3분기 패널조사 데이터(가중치),(공개용) 2024년 3분기 패널조사 데이터(가중치).xlsx,6,(공개용) 2024년 3분기 패널조사 데이터(가중치)-6,6,3,팔달구,3.0,9.0,4.0,5.0,4.0,,,,,,,1.0,"잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다",5.0,5.0,6.0,6.0,6.0,2.0,교통,5.0,2.0,"별로 기대하지 않았는데, 기대 이상으로 잘 한다",5.0,현재 미정이지만 다녀오지 못할 가능성이 높다,1.0,비용 부담 때문에,4.0,"호캉스, 에캉스 등 숙소에서 휴식",3.0,"공원(만석공원, 서호공원 등) 및 수목원 방문(일월수목원, 영흥수목원)",4.0,조금 나빠질 것이다,1.0,늘어날 것이다,2.0,10-20만원,30.0,2.0,명절 선물비,2.0,대형마트,2.0,"집에서 방문객(가족, 친지 등) 응대",3.0,교통 및 물류 대책 마련,2.0,조금 필요하다,2.0,약간 도움이 된다,5.0,사회복지 분야,2,여자,32,1.0,미혼,2.0,"대학교(2, 3년제)",1.0,3.0,비해당,2.0,없음,,,,,,2.0,휴가 및 일시 휴직,,,4.0,서비스 종사자,4.0,200만원 이상 ~300만원 미만,3.0,연립·다세대 주택,2.0,전세(월세없음),226.59,0.39780000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,보통이다,,,,보통이다,,,,,,,,,,,,,,,,
(공개용) 2024년 3분기 패널조사 데이터(가중치),(공개용) 2024년 3분기 패널조사 데이터(가중치).xlsx,7,(공개용) 2024년 3분기 패널조사 데이터(가중치)-7,7,1,장안구,5.0,1.0,4.0,6.0,4.0,,,,,,,2.0,"별로 기대하지 않았는데, 기대 이상으로 잘 한다",5.0,4.0,4.0,4.0,4.0,4.0,기업 유치 및 일자리,4.0,3.0,"잘 할 것이라 기대했는데, 대체로 기대에 못 미친다",3.0,여름 휴가를 가지 않을 계획이다,4.0,휴가를 사용하려니 눈치가 보여서,5.0,"아웃도어 활동(걷기, 등산 등)",8.0,맛집탐방,3.0,비슷할 것이다,2.0,비슷할 것이다,,,,3.0,가족 및 친․인척 용돈,3.0,슈퍼마켓,2.0,"집에서 방문객(가족, 친지 등) 응대",3.0,교통 및 물류 대책 마련,3.0,보통이다,3.0,보통이다,3.0,경제·세무 분야,1,남자,29,1.0,미혼,2.0,"대학교(2, 3년제)",1.0,3.0,비해당,2.0,없음,,,,,,2.0,휴가 및 일시 휴직,,,6.0,농림어업 종사자,5.0,300만원 이상 ~400만원 미만,3.0,연립·다세대 주택,3.0,보증금 있는 월세,1488.88,2.6141,보통이다,보통이다,보통이다,,,,,,,,,,,,,,,,,,,,,,,,보통이다,보통이다,보통이다,,보통이다,,,,,,,,,,,,,,,,
(공개용) 2024년 3분기 패널조사 데이터(가중치),(공개용) 2024년 3분기 패널조사 데이터(가중치).xlsx,8,(공개용) 2024년 3분기 패널조사 데이터(가중치)-8,8,2,권선구,5.0,6.0,6.0,5.0,6.0,2.0,"시민과의 소통, 홍보를 잘 하는 것 같아서",5.0,"정부, 경기도, 타지자체와의 협력을 잘하는 것 같아서",3.0,수원특례시 현안에 대한 이해가 깊은 것 같아서,2.0,"별로 기대하지 않았는데, 기대 이상으로 잘 한다",6.0,6.0,5.0,5.0,6.0,6.0,도시계획 및 정비,5.0,2.0,"별로 기대하지 않았는데, 기대 이상으로 잘 한다",2.0,여름 휴가를 다녀올 계획이다,,,5.0,"아웃도어 활동(걷기, 등산 등)",7.0,드라마․영화 촬영지 방문,3.0,비슷할 것이다,2.0,비슷할 것이다,,,,3.0,가족 및 친․인척 용돈,2.0,대형마트,3.0,해외여행,3.0,교통 및 물류 대책 마련,3.0,보통이다,3.0,보통이다,3.0,경제·세무 분야,1,남자,32,1.0,미혼,4.0,대학원,1.0,2.0,비맞벌이,2.0,없음,,,,,,1.0,일을 하였음,4.0,특수고용 종사자,4.0,서비스 종사자,6.0,400만원 이상 ~500만원 미만,2.0,단독주택(다가구 포함),1.0,자기집,279.07,0.49,,,,1.0,국내,1.0,혼자,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,스트레스 해소,,,,,,,,,,,,,,,,,,,,,
(공개용) 2024년 3분기 패널조사 데이터(가중치),(공개용) 2024년 3분기 패널조사 데이터(가중치).xlsx,9,(공개용) 2024년 3분기 패널조사 데이터(가중치)-9,9,1,장안구,5.0,0.0,3.0,5.0,4.0,,,,,,,1.0,"잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다",5.0,5.0,5.0,4.0,5.0,4.0,기업 유치 및 일자리,4.0,2.0,"별로 기대하지 않았는데, 기대 이상으로 잘 한다",3.0,여름 휴가를 가지 않을 계획이다,1.0,비용 부담 때문에,11.0,"캠핑, 차박",4.0,"호캉스, 에캉스 등 숙소에서 휴식",5.0,많이 나빠질 것이다,1.0,늘어날 것이다,2.0,10-20만원,40.0,3.0,가족 및 친․인척 용돈,1.0,전통시장,2.0,"집에서 방문객(가족, 친지 등) 응대",1.0,추석 성수품 물가 안정,1.0,매우 필요하다,1.0,매우 도움이 된다,5.0,사회복지 분야,2,여자,28,1.0,미혼,3.0,대학교(4년제 이상),3.0,3.0,비해당,2.0,없음,,,,,,3.0,일을 하지 않았음,,,12.0,무직,5.0,300만원 이상 ~400만원 미만,3.0,연립·다세대 주택,3.0,보증금 있는 월세,276.17,0.4849,,,보통이다,,,,,,,,,,,,,,,,,,,,,,,,보통이다,,보통이다,,,,,,,,,,,,,,,,,,
(공개용) 2024년 3분기 패널조사 데이터(가중치),(공개용) 2024년 3분기 패널조사 데이터(가중치).xlsx,10,(공개용) 2024년 3분기 패널조사 데이터(가중치)-10,10,2,권선구,3.0,6.0,5.0,5.0,6.0,1.0,"새롭고 과감한 시도, 참신한 정책·사업들이 많아서",3.0,수원특례시 현안에 대한 이해가 깊은 것 같아서,4.0,추진력 있고 강단 있게 일하는 것 같아서,1.0,"잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다",5.0,5.0,4.0,5.0,5.0,1.0,복지,5.0,2.0,"별로 기대하지 않았는데, 기대 이상으로 잘 한다",1.0,이미 다녀왔다,,,1.0,수원 화성 및 화성행궁 방문,2.0,"지역 축제 참여(수원화성문화제, 수원재즈페스티벌 등)",1.0,많이 좋아질 것이다,1.0,늘어날 것이다,3.0,20-30만원,50.0,2.0,명절 선물비,1.0,전통시장,1.0,"고향(가족, 친지) 방문",1.0,추석 성수품 물가 안정,1.0,매우 필요하다,1.0,매우 도움이 된다,1.0,도시·건축 분야,2,여자,26,1.0,미혼,3.0,대학교(4년제 이상),1.0,3.0,비해당,2.0,없음,,,,,,1.0,일을 하였음,1.0,상용직 임금근로자,2.0,전문가 및 관련 종사자,5.0,300만원 이상 ~400만원 미만,4.0,"주택 외 거주(오피스텔, 고시원, 상가, 공장 등)",2.0,전세(월세없음),211.0,0.3705,보통이다,,,1.0,국내,2.0,가족,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,3.0,소중한 사람과 함께 보내는 시간,,,,,,,,,,,,,,,,,,,,,
