ID,GU,resi_y,resi_m,q1,q2,q3,q3_1_1,q3_1_2,q3_1_3,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q6,q6_op,q7,q8,q9,q9_1,q9_2,q9_2_op,q3_3_1,q3_3_2,q3_3_3,q3_3_4,q3_3_5,q3_3_6,q3_3_7,q3_3_8,q3_3_9,q3_3_10,q3_3_11,q3_3_12,q3_3_13,q3_3_14,q3_3_15,q3_3_16,q3_3_16_op,q9_4,q9_5,q9_5_op,q10,q10_op,q11_1,q11_1_op,q11_2,q11_2_op,q12,q13,q13_1,q13_2,q14,q14_op,q15,q15_op,q16,q16_op,q17,q17_op,q18,q19,q20,q21_op,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9_1,DM9_2,DM9_3,DM9_4,DM10,DM11,DM12,DM12_op,DM13,DM14,DM14_op,DM15,wg,ws
1,1,8.0,1.0,5.0,5.0,5.0,1.0,2.0,4.0,2.0,6.0,5.0,5.0,5.0,5.0,4.0,,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,8.0,,9.0,,4.0,1.0,2.0,100.0,1.0,,2.0,,1.0,,1.0,,3.0,2.0,3.0,,2,39,2.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,,,1.0,1.0,3.0,,8.0,1.0,,1.0,267.21,0.4692
2,1,40.0,0.0,5.0,6.0,3.0,,,,4.0,3.0,5.0,4.0,3.0,4.0,5.0,,1.0,4.0,2.0,2.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,200.0,3.0,,,,2.0,,4.0,,5.0,1.0,3.0,50.0,3.0,,2.0,,2.0,,1.0,,1.0,2.0,2.0,,2,40,2.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,3.0,,8.0,1.0,,1.0,286.97,0.5039
3,4,30.0,5.0,3.0,3.0,4.0,,,,3.0,3.0,4.0,3.0,4.0,4.0,9.0,,3.0,2.0,2.0,1.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,1.0,,,,1.0,,4.0,,2.0,3.0,2.0,100.0,2.0,,2.0,,2.0,,3.0,,2.0,2.0,3.0,,2,30,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,4.0,,5.0,1.0,,1.0,216.81,0.3807
4,1,7.0,11.0,3.0,5.0,4.0,,,,3.0,4.0,5.0,5.0,5.0,4.0,6.0,,5.0,3.0,2.0,4.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.0,2.0,,,,4.0,,10.0,,4.0,2.0,,,3.0,,2.0,,2.0,,2.0,,3.0,2.0,5.0,,2,27,1.0,3.0,4.0,1.0,2.0,,,,,,1.0,1.0,3.0,,4.0,2.0,,2.0,276.17,0.4849
5,1,4.0,10.0,4.0,4.0,4.0,,,,4.0,3.0,3.0,4.0,4.0,4.0,3.0,,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,5.0,,4.0,1.0,6.0,150.0,2.0,,2.0,,1.0,,1.0,,1.0,3.0,3.0,,2,34,2.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,,,2.0,,4.0,,6.0,4.0,,1.0,198.29,0.3482
6,3,3.0,9.0,4.0,5.0,4.0,,,,1.0,5.0,5.0,6.0,6.0,6.0,2.0,,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,3.0,,4.0,1.0,2.0,30.0,2.0,,2.0,,2.0,,3.0,,2.0,2.0,5.0,,2,32,1.0,2.0,1.0,3.0,2.0,,,,,,2.0,,4.0,,4.0,3.0,,2.0,226.59,0.3978
7,1,5.0,1.0,4.0,6.0,4.0,,,,2.0,5.0,4.0,4.0,4.0,4.0,4.0,,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,5.0,,8.0,,3.0,2.0,,,3.0,,3.0,,2.0,,3.0,,3.0,3.0,3.0,,1,29,1.0,2.0,1.0,3.0,2.0,,,,,,2.0,,6.0,,5.0,3.0,,3.0,1488.88,2.6141
8,2,5.0,6.0,6.0,5.0,6.0,2.0,5.0,3.0,2.0,6.0,6.0,5.0,5.0,6.0,6.0,,5.0,2.0,2.0,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,4.0,,,,5.0,,7.0,,3.0,2.0,,,3.0,,2.0,,3.0,,3.0,,3.0,3.0,3.0,,1,32,1.0,4.0,1.0,2.0,2.0,,,,,,1.0,4.0,4.0,,6.0,2.0,,1.0,279.07,0.49
9,1,5.0,0.0,3.0,5.0,4.0,,,,1.0,5.0,5.0,5.0,4.0,5.0,4.0,,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,11.0,,4.0,,5.0,1.0,2.0,40.0,3.0,,1.0,,2.0,,1.0,,1.0,1.0,5.0,,2,28,1.0,3.0,3.0,3.0,2.0,,,,,,3.0,,12.0,,5.0,3.0,,3.0,276.17,0.4849
10,2,3.0,6.0,5.0,5.0,6.0,1.0,3.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0,,5.0,2.0,1.0,1.0,2.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,200.0,3.0,,,,1.0,,2.0,,1.0,1.0,3.0,50.0,2.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,2,26,1.0,3.0,1.0,3.0,2.0,,,,,,1.0,1.0,2.0,,5.0,4.0,,2.0,211.0,0.3705
